City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
392,amlagora,22.8333,87.3333,26.28,83,98,1.33,IN,1691621840
393,sakakah,29.9697,40.2064,31.76,19,0,3.78,SA,1691621840
394,port alfred,-33.5906,26.891,16.21,87,25,1.34,ZA,1691621841
395,brisas de zicatela,15.8369,-97.0419,30.86,64,90,2.43,MX,1691621841
396,puerto san jose,13.9256,-90.8244,30.52,69,38,3.29,GT,1691621842
397,machico,32.7,-16.7667,24.35,81,20,2.06,PT,1691621842
398,nar'yan-mar,67.6713,53.087,10.92,88,31,2.43,RU,1691621842
399,sao jose da tapera,-9.5583,-37.3811,19.74,94,20,3.03,BR,1691621595
400,nizhneudinsk,54.9076,99.0276,16.17,83,100,1.35,RU,1691621843
401,khash,28.2211,61.2158,26.09,22,0,2.03,IR,1691621844
402,mpongwe,-13.5091,28.155,15.52,37,0,4.43,ZM,1691621844
403,lospalos,-8.5186,127.0025,22.0,83,57,2.58,TL,1691621845
404,tindouf,27.6711,-8.1474,38.25,9,0,2.57,DZ,1691621845
405,dolores,-36.3132,-57.6792,9.68,93,70,3.03,AR,1691621846
406,nyandoma,61.669,40.1991,14.64,94,0,2.24,RU,1691621846
407,verin,41.9415,-7.4381,20.31,73,1,1.6,ES,1691621846
408,mulayjah,27.271,48.4242,32.86,31,0,2.04,SA,1691621847
409,nizhniy odes,63.6445,54.856,13.56,70,20,1.91,RU,1691621847
410,el sauzal de rodriguez,31.9,-116.6833,23.56,72,48,3.29,MX,1691621848
411,independence,39.0911,-94.4155,29.97,65,75,2.57,US,1691621573
412,huilong,31.8111,121.655,28.85,87,1,5.32,CN,1691621849
413,mata-utu,-13.2816,-176.1745,27.89,77,10,5.45,WF,1691621849
414,xining,36.6167,101.7667,17.12,83,73,1.46,CN,1691621850
415,pecos,31.4229,-103.4932,42.46,12,0,5.14,US,1691621850
416,kuanda,56.3161,116.0806,21.02,60,88,2.58,RU,1691621851
417,kristiansund,63.1115,7.732,11.36,93,100,0.0,NO,1691621852
418,baikonur,45.6167,63.3167,26.79,42,0,3.88,KZ,1691621852
419,yeppoon,-23.1333,150.7333,16.88,73,2,4.74,AU,1691621852
420,constantia,44.1833,28.65,17.61,68,6,4.41,RO,1691621618
421,tongouson,5.0214,120.1328,28.11,72,86,1.78,PH,1691621853
422,ola,59.5833,151.2833,16.75,56,4,2.3,RU,1691621854
423,saint-pierre,-21.3393,55.4781,19.82,73,0,3.09,RE,1691621854
424,maxixe,-23.8597,35.3472,18.59,74,52,4.52,MZ,1691621855
425,bakri,2.0441,102.6527,23.89,90,90,1.92,MY,1691621855
426,isangel,-19.55,169.2667,21.69,63,23,8.23,VU,1691621856
427,nizhniy kuranakh,58.8353,125.4869,19.82,75,70,1.65,RU,1691621856
428,beyneu,45.3167,55.2,29.2,24,7,3.64,KZ,1691621857
429,san juanito,28.0,-107.5833,16.13,74,98,3.84,MX,1691621857
430,bam,29.106,58.357,30.34,23,91,5.2,IR,1691621857
431,mahibadhoo,3.7833,72.9667,27.73,79,100,5.99,MV,1691621858
432,ermelo,-26.5333,29.9833,7.84,81,79,3.43,ZA,1691621858
433,monticello,45.3055,-93.7941,27.25,60,0,3.6,US,1691621749
434,severo-yeniseyskiy,60.3725,93.0408,10.42,88,29,2.08,RU,1691621859
435,natal,-5.795,-35.2094,23.36,100,40,3.09,BR,1691621620
436,miahuatlan de porfirio diaz,16.3333,-96.6,23.09,72,100,2.42,MX,1691621860
437,brush,40.2589,-103.6238,27.62,34,0,3.6,US,1691621861
438,mongar,27.2747,91.2396,18.64,99,100,0.4,BT,1691621861
439,arti,56.4234,58.5328,15.61,80,75,1.25,RU,1691621861
440,sao pedro do sul,-29.6206,-54.1789,13.36,98,93,2.0,BR,1691621862
441,pokrovsk,48.282,37.1758,18.93,59,20,6.15,UA,1691621862
442,nowa deba,50.4297,21.7508,15.47,93,100,1.65,PL,1691621863
443,bako,5.7833,36.5667,18.68,71,92,1.72,ET,1691621863
444,monywa,22.1167,95.1333,24.15,96,100,4.0,MM,1691621864
445,mount gambier,-37.8333,140.7667,10.55,69,100,4.08,AU,1691621864
446,cozumel,20.5083,-86.9458,33.3,72,6,3.13,MX,1691621575
447,ketchikan,55.3422,-131.6461,14.26,100,100,7.2,US,1691621865
448,kharovsk,59.9642,40.1912,15.65,92,1,2.43,RU,1691621866
449,anna regina,7.2644,-58.5077,27.69,77,59,5.37,GY,1691621866
450,masvingo,-20.0637,30.8277,10.49,79,2,2.12,ZW,1691621867
451,tarawa,1.419,172.984,30.05,74,20,1.03,KI,1691621867
452,bel ombre,-4.6167,55.4167,25.91,78,20,3.6,SC,1691621867
453,hasaki,35.7333,140.8333,29.22,79,73,4.46,JP,1691621868
454,komotini,41.1228,25.3964,20.59,60,41,2.93,GR,1691621868
455,bubaque,11.2833,-15.8333,27.08,83,84,3.56,GW,1691621869
456,orichi,58.4036,49.0572,16.28,85,11,1.14,RU,1691621870
457,labrador city,52.9463,-66.9114,12.95,94,100,3.6,CA,1691621870
458,sultanah,24.4926,39.5857,36.25,16,0,2.57,SA,1691621871
459,hilo,19.7297,-155.09,28.3,76,20,3.6,US,1691621614
